 radio-6GHz besselli bessellv uvot__b X-ray-5keV
65 9.474365668404417 18.48708794808188 18.798080232146084 18.986265701073236 25.08720046720102
66 9.628103060981868 18.640853180536862 18.951845464600943 19.140030933528095 25.240964207983392
67 9.784251027428837 18.797012453229726 19.1080047372933 19.296190206220448 25.397118884671062
68 9.943214659025728 18.95597729310222 19.26696957716541 19.455155046092553 25.55608302759077
69 10.105112858806873 19.117875523733424 19.428867807797374 19.617053276724526 25.717978157400665
70 10.269227207389719 19.281989872316146 19.592982156380224 19.781167625307376 25.88208590733039
71 10.437779585007409 19.450542249933882 19.761534533997906 19.94972000292506 26.050636200246263
72 10.610724051032062 19.623486715958673 19.934479000022563 20.122664468949708 26.223576853138457
73 10.78920366222317 19.801966327149366 20.112958611213664 20.301144080140816 26.402054301696758
74 10.972459282467707 19.985221947393768 20.296214231458208 20.48439970038536 26.585309600503578
